intento;orientacion;posicion_angular;tipo;excentricidad;offset_porcentual
BL3_1;45;0;magno;0;0
BL3_2;135;0;magno;0;0
BL3_3;45;0;magno;0;3
BL3_4;135;0;magno;0;3
BL3_5;45;0;magno;0;3
BL3_6;45;0;neutro;0;7
BL3_7;45;0;neutro;0;7
BL3_8;135;0;neutro;0;7
BL3_9;45;0;neutro;0;11
BL3_10;135;0;neutro;0;11
BL3_11;45;0;parvo;0;11
BL3_12;135;0;parvo;0;13
BL3_13;45;0;parvo;0;14
BL3_14;135;0;parvo;0;15
BL3_15;135;0;parvo;0;16
BL3_16;135;0;magno;0;18
BL3_17;45;0;magno;0;19
BL3_18;45;0;magno;0;20
BL3_19;135;0;magno;0;21
BL3_20;45;0;magno;0;22
BL3_21;135;0;neutro;0;24
BL3_22;135;0;neutro;0;25
BL3_23;45;0;neutro;0;26
BL3_24;135;0;neutro;0;27
BL3_25;135;0;neutro;0;30
