intento;sf_path_0;sf_path_1;sf_path_2;posicion_angular;tipo;excentricidad;respuesta;tamanyo
BL5_1;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_1_3_cpd\;003_0018.jpg;0;-;0;inerte;1
BL5_2;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_1_3_cpd\;004_0015.jpg;0;-;0;inerte;1
BL5_3;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_1_3_cpd\;005_0014.jpg;0;-;0;inerte;1
BL5_4;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_1_3_cpd\;M_N574077.jpg;0;-;0;vivo;1
BL5_5;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_1_3_cpd\;M_N70025.jpg;0;-;0;vivo;1
BL5_6;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_1_3_cpd\;M_N815026.jpg;0;-;0;vivo;1
BL5_7;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_1_3_cpd\;M_N825071.jpg;0;-;0;vivo;1
BL5_8;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_4_6_cpd\;023_0016.jpg;0;-;0;inerte;1
BL5_9;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_4_6_cpd\;026_0008.jpg;0;-;0;inerte;1
BL5_10;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_4_6_cpd\;029_0008.jpg;0;-;0;inerte;1
BL5_11;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_4_6_cpd\;M_N574077.jpg;0;-;0;vivo;1
BL5_12;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_4_6_cpd\;M_N70025.jpg;0;-;0;vivo;1
BL5_13;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_4_6_cpd\;M_N815026.jpg;0;-;0;vivo;1
BL5_14;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_4_6_cpd\;M_N825071.jpg;0;-;0;vivo;1
BL5_15;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_10_18_cpd\;054_0002.jpg;0;-;0;inerte;1
BL5_16;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_10_18_cpd\;061_0058.jpg;0;-;0;inerte;1
BL5_17;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_10_18_cpd\;063_0011.jpg;0;-;0;inerte;1
BL5_18;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_10_18_cpd\;081_0001.jpg;0;-;0;inerte;1
BL5_19;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_10_18_cpd\;M_N136054.jpg;0;-;0;vivo;1
BL5_20;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_10_18_cpd\;M_N197092.jpg;0;-;0;vivo;1
BL5_21;images\autogenerated_datasets\spatial_frequency_filters\;bandpass_10_18_cpd\;M_N326090.jpg;0;-;0;vivo;1
