intento;semantic_contrast_filename;posicion_angular;tipo;excentricidad;respuesta;tamanyo;semantic_contrast_offset
BL5_1;007_0007.jpg;0;magno;0;vivo;1;0
BL5_2;009_0080.jpg;0;neutro;0;vivo;1;0
BL5_3;024_0104.jpg;0;parvo;0;vivo;1;0
BL5_4;028_0069.jpg;0;magno;0;vivo;1;0
BL5_5;028_0108.jpg;0;neutro;0;vivo;1;0
BL5_6;034_0025.jpg;0;parvo;0;vivo;1;0
BL5_7;038_0029.jpg;0;magno;0;vivo;1;0
BL5_8;040_0002.jpg;0;neutro;0;vivo;1;25
BL5_9;049_0055.jpg;0;parvo;0;vivo;1;25
BL5_10;056_0026.jpg;0;magno;0;vivo;1;25
BL5_11;056_0050.jpg;0;neutro;0;vivo;1;25
BL5_12;056_0057.jpg;0;parvo;0;vivo;1;25
BL5_13;057_0056.jpg;0;magno;0;vivo;1;25
BL5_14;060_0032.jpg;0;neutro;0;vivo;1;50
BL5_15;060_0074.jpg;0;parvo;0;vivo;1;50
BL5_16;064_0073.jpg;0;magno;0;vivo;1;50
BL5_17;065_0034.jpg;0;neutro;0;vivo;1;50
BL5_18;080_0085.jpg;0;parvo;0;vivo;1;50
BL5_19;084_0036.jpg;0;magno;0;vivo;1;50
BL5_20;087_0030.jpg;0;neutro;0;vivo;1;50
BL5_21;089_0002.jpg;0;parvo;0;vivo;1;100
BL5_22;089_0030.jpg;0;magno;0;vivo;1;100
BL5_23;093_0022.jpg;0;neutro;0;vivo;1;200
BL5_24;105_0196.jpg;0;parvo;0;vivo;1;200
BL5_25;111_0027.jpg;0;magno;0;vivo;1;0
BL5_26;113_0050.jpg;0;neutro;0;vivo;1;0
BL5_27;114_0016.jpg;0;parvo;0;vivo;1;0
BL5_28;116_0046.jpg;0;magno;0;vivo;1;0
BL5_29;121_0057.jpg;0;neutro;0;vivo;1;0
BL5_30;124_0002.jpg;0;parvo;0;vivo;1;0
BL5_31;134_0071.jpg;0;magno;0;vivo;1;0
BL5_32;150_0085.jpg;0;neutro;0;vivo;1;25
BL5_33;152_0078.jpg;0;parvo;0;vivo;1;25
BL5_34;158_0079.jpg;0;magno;0;vivo;1;25
BL5_35;166_0029.jpg;0;neutro;0;vivo;1;25
BL5_36;179_0018.jpg;0;parvo;0;vivo;1;25
BL5_37;189_0064.jpg;0;magno;0;vivo;1;25
BL5_38;198_0023.jpg;0;neutro;0;vivo;1;50
BL5_39;201_0008.jpg;0;parvo;0;vivo;1;50
BL5_40;207_0018.jpg;0;magno;0;vivo;1;50
BL5_41;B_ani37.jpg;0;neutro;0;vivo;1;50
BL5_42;B_N106014.jpg;0;parvo;0;vivo;1;50
BL5_43;B_N106094.jpg;0;magno;0;vivo;1;50
BL5_44;B_N107001.jpg;0;neutro;0;vivo;1;50
BL5_45;B_N109005.jpg;0;parvo;0;vivo;1;100
BL5_46;B_N109057.jpg;0;magno;0;vivo;1;100
BL5_47;B_N112084.jpg;0;neutro;0;vivo;1;200
BL5_48;B_N112087.jpg;0;parvo;0;vivo;1;200
BL5_49;B_N123069.jpg;0;magno;0;vivo;1;0
BL5_50;B_N123094.jpg;0;neutro;0;vivo;1;0
BL5_51;B_N168089.jpg;0;parvo;0;vivo;1;0
BL5_52;B_N247043.jpg;0;magno;0;vivo;1;0
BL5_53;B_N253099.jpg;0;neutro;0;vivo;1;0
BL5_54;B_N268067.jpg;0;parvo;0;vivo;1;0
BL5_55;B_N289087.jpg;0;magno;0;vivo;1;0
BL5_56;B_N43027.jpg;0;neutro;0;vivo;1;25
BL5_57;B_N77036.jpg;0;parvo;0;vivo;1;25
BL5_58;B_N77078.jpg;0;magno;0;vivo;1;25
BL5_59;B_N77089.jpg;0;neutro;0;vivo;1;25
BL5_60;B_N771064.jpg;0;parvo;0;vivo;1;25
BL5_61;B_N816056.jpg;0;magno;0;vivo;1;25
BL5_62;B_N824008.jpg;0;neutro;0;vivo;1;50
BL5_63;B_N825047.jpg;0;parvo;0;vivo;1;50
BL5_64;B_N826043.jpg;0;magno;0;vivo;1;50
BL5_65;B_N827019.jpg;0;neutro;0;vivo;1;50
BL5_66;H_ani1.jpg;0;parvo;0;vivo;1;50
BL5_67;H_N110063.jpg;0;magno;0;vivo;1;50
BL5_68;H_N130002.jpg;0;neutro;0;vivo;1;50
BL5_69;H_N16057.jpg;0;parvo;0;vivo;1;100
BL5_70;H_N42010.jpg;0;magno;0;vivo;1;100
BL5_71;M_ani15.jpg;0;neutro;0;vivo;1;200
BL5_72;M_ani47.jpg;0;parvo;0;vivo;1;200
BL5_73;M_N104002.jpg;0;magno;0;vivo;1;0
BL5_74;M_N173002.jpg;0;neutro;0;vivo;1;0
BL5_75;M_N268045.jpg;0;parvo;0;vivo;1;0
BL5_76;M_N289028.jpg;0;magno;0;vivo;1;0
BL5_77;M_N70025.jpg;0;neutro;0;vivo;1;0
BL5_78;002_0076.jpg;0;parvo;0;inerte;1;0
BL5_79;003_0014.jpg;0;magno;0;inerte;1;0
BL5_80;004_0017.jpg;0;neutro;0;inerte;1;25
BL5_81;008_0189.jpg;0;parvo;0;inerte;1;25
BL5_82;012_0016.jpg;0;magno;0;inerte;1;25
BL5_83;013_0056.jpg;0;neutro;0;inerte;1;25
BL5_84;014_0039.jpg;0;parvo;0;inerte;1;25
BL5_85;016_0025.jpg;0;magno;0;inerte;1;25
BL5_86;018_0034.jpg;0;neutro;0;inerte;1;50
BL5_87;019_0092.jpg;0;magno;0;inerte;1;50
BL5_88;025_0114.jpg;0;neutro;0;inerte;1;50
BL5_89;026_0022.jpg;0;parvo;0;inerte;1;50
BL5_90;029_0003.jpg;0;magno;0;inerte;1;50
BL5_91;030_0092.jpg;0;neutro;0;inerte;1;50
BL5_92;031_0001.jpg;0;parvo;0;inerte;1;50
BL5_93;035_0002.jpg;0;magno;0;inerte;1;100
BL5_94;037_0116.jpg;0;neutro;0;inerte;1;100
BL5_95;039_0018.jpg;0;parvo;0;inerte;1;200
BL5_96;041_0021.jpg;0;magno;0;inerte;1;200
BL5_97;042_0086.jpg;0;neutro;0;inerte;1;0
