intento;semantic_color_filename;posicion_angular;tipo;excentricidad;respuesta;tamanyo;color_h;color_s;color_v;color_name
BL6_1;007_0007.jpg;0;-;0;vivo;1;50;1;100;
BL6_2;009_0080.jpg;0;-;0;vivo;1;60;2;100;
BL6_3;024_0104.jpg;0;-;0;vivo;1;70;3;100;
BL6_4;028_0069.jpg;0;-;0;vivo;1;80;4;100;
BL6_5;028_0108.jpg;0;-;0;vivo;1;90;1;100;
BL6_6;034_0025.jpg;0;-;0;vivo;1;100;2;100;
BL6_7;038_0029.jpg;0;-;0;vivo;1;0;3;100;
BL6_8;040_0002.jpg;0;-;0;vivo;1;10;4;100;
BL6_9;049_0055.jpg;0;-;0;vivo;1;20;1;100;
BL6_10;056_0026.jpg;0;-;0;vivo;1;30;2;100;
BL6_11;056_0050.jpg;0;-;0;vivo;1;40;3;100;
BL6_12;056_0057.jpg;0;-;0;vivo;1;50;4;100;
BL6_13;057_0056.jpg;0;-;0;vivo;1;60;1;100;
BL6_14;060_0032.jpg;0;-;0;vivo;1;70;2;100;
BL6_15;060_0074.jpg;0;-;0;vivo;1;80;3;100;
BL6_16;064_0073.jpg;0;-;0;vivo;1;90;4;100;
BL6_17;065_0034.jpg;0;-;0;vivo;1;100;1;100;
BL6_18;080_0085.jpg;0;-;0;vivo;1;50;2;100;
BL6_19;084_0036.jpg;0;-;0;vivo;1;60;3;100;
BL6_20;087_0030.jpg;0;-;0;vivo;1;70;4;100;
BL6_21;089_0002.jpg;0;-;0;vivo;1;80;1;100;
BL6_22;089_0030.jpg;0;-;0;vivo;1;90;2;100;
BL6_23;093_0022.jpg;0;-;0;vivo;1;100;3;100;
BL6_24;105_0196.jpg;0;-;0;vivo;1;0;4;100;
BL6_25;111_0027.jpg;0;-;0;vivo;1;10;1;100;
BL6_26;113_0050.jpg;0;-;0;vivo;1;20;2;100;
BL6_27;114_0016.jpg;0;-;0;vivo;1;30;3;100;
BL6_28;116_0046.jpg;0;-;0;vivo;1;40;4;100;
BL6_29;121_0057.jpg;0;-;0;vivo;1;50;1;100;
BL6_30;124_0002.jpg;0;-;0;vivo;1;60;2;100;
BL6_31;134_0071.jpg;0;-;0;vivo;1;70;3;100;
BL6_32;150_0085.jpg;0;-;0;vivo;1;80;4;100;
BL6_33;152_0078.jpg;0;-;0;vivo;1;90;1;100;
BL6_34;158_0079.jpg;0;-;0;vivo;1;100;2;100;
BL6_35;166_0029.jpg;0;-;0;vivo;1;0;3;100;
BL6_36;179_0018.jpg;0;-;0;vivo;1;10;4;100;
BL6_37;189_0064.jpg;0;-;0;vivo;1;20;1;100;
BL6_38;198_0023.jpg;0;-;0;vivo;1;30;2;100;
BL6_39;201_0008.jpg;0;-;0;vivo;1;40;3;100;
BL6_40;207_0018.jpg;0;-;0;vivo;1;50;4;100;
BL6_41;B_ani37.jpg;0;-;0;vivo;1;60;1;100;
BL6_42;B_N106014.jpg;0;-;0;vivo;1;70;2;100;
BL6_43;B_N106094.jpg;0;-;0;vivo;1;80;3;100;
BL6_44;B_N107001.jpg;0;-;0;vivo;1;90;4;100;
BL6_45;B_N109005.jpg;0;-;0;vivo;1;100;1;100;
BL6_46;B_N109057.jpg;0;-;0;vivo;1;50;2;100;
BL6_47;B_N112084.jpg;0;-;0;vivo;1;60;3;100;
BL6_48;B_N112087.jpg;0;-;0;vivo;1;70;4;100;
BL6_49;B_N123069.jpg;0;-;0;vivo;1;80;1;100;
BL6_50;B_N123094.jpg;0;-;0;vivo;1;90;2;100;
BL6_51;B_N168089.jpg;0;-;0;vivo;1;100;3;100;
BL6_52;B_N247043.jpg;0;-;0;vivo;1;0;4;100;
BL6_53;B_N253099.jpg;0;-;0;vivo;1;10;1;100;
BL6_54;B_N268067.jpg;0;-;0;vivo;1;20;2;100;
BL6_55;B_N289087.jpg;0;-;0;vivo;1;30;3;100;
BL6_56;B_N43027.jpg;0;-;0;vivo;1;40;4;100;
BL6_57;B_N77036.jpg;0;-;0;vivo;1;50;1;100;
BL6_58;B_N77078.jpg;0;-;0;vivo;1;60;2;100;
BL6_59;B_N77089.jpg;0;-;0;vivo;1;70;3;100;
BL6_60;B_N771064.jpg;0;-;0;vivo;1;80;4;100;
BL6_61;B_N816056.jpg;0;-;0;vivo;1;90;1;100;
BL6_62;B_N824008.jpg;0;-;0;vivo;1;100;2;100;
BL6_63;B_N825047.jpg;0;-;0;vivo;1;0;3;100;
BL6_64;B_N826043.jpg;0;-;0;vivo;1;10;4;100;
BL6_65;B_N827019.jpg;0;-;0;vivo;1;20;1;100;
BL6_66;H_ani1.jpg;0;-;0;vivo;1;30;2;100;
BL6_67;H_N110063.jpg;0;-;0;vivo;1;40;3;100;
BL6_68;H_N130002.jpg;0;-;0;vivo;1;50;4;100;
BL6_69;H_N16057.jpg;0;-;0;vivo;1;60;1;100;
BL6_70;H_N42010.jpg;0;-;0;vivo;1;70;2;100;
BL6_71;M_ani15.jpg;0;-;0;vivo;1;80;3;100;
BL6_72;M_ani47.jpg;0;-;0;vivo;1;90;4;100;
BL6_73;M_N104002.jpg;0;-;0;vivo;1;100;1;100;
BL6_74;M_N173002.jpg;0;-;0;vivo;1;50;2;100;
BL6_75;M_N268045.jpg;0;-;0;vivo;1;60;3;100;
BL6_76;M_N289028.jpg;0;-;0;vivo;1;70;4;100;
BL6_77;M_N70025.jpg;0;-;0;vivo;1;80;1;100;
BL6_78;002_0076.jpg;0;-;0;inerte;1;90;2;100;
BL6_79;003_0014.jpg;0;-;0;inerte;1;100;3;100;
BL6_80;004_0017.jpg;0;-;0;inerte;1;0;4;100;
BL6_81;008_0189.jpg;0;-;0;inerte;1;10;1;100;
BL6_82;012_0016.jpg;0;-;0;inerte;1;20;2;100;
BL6_83;013_0056.jpg;0;-;0;inerte;1;30;3;100;
BL6_84;014_0039.jpg;0;-;0;inerte;1;40;4;100;
BL6_85;016_0025.jpg;0;-;0;inerte;1;50;1;100;
BL6_86;018_0034.jpg;0;-;0;inerte;1;60;2;100;
BL6_87;019_0092.jpg;0;-;0;inerte;1;70;3;100;
BL6_88;025_0114.jpg;0;-;0;inerte;1;80;4;100;
BL6_89;026_0022.jpg;0;-;0;inerte;1;90;1;100;
BL6_90;029_0003.jpg;0;-;0;inerte;1;100;2;100;
BL6_91;030_0092.jpg;0;-;0;inerte;1;0;3;100;
BL6_92;031_0001.jpg;0;-;0;inerte;1;10;4;100;
BL6_93;035_0002.jpg;0;-;0;inerte;1;20;1;100;
BL6_94;037_0116.jpg;0;-;0;inerte;1;30;2;100;
BL6_95;039_0018.jpg;0;-;0;inerte;1;40;3;100;
BL6_96;041_0021.jpg;0;-;0;inerte;1;50;4;100;
BL6_97;042_0086.jpg;0;-;0;inerte;1;60;1;100;
BL6_98;045_0012.jpg;0;-;0;inerte;1;70;2;100;
BL6_99;046_0061.jpg;0;-;0;inerte;1;80;3;100;
BL6_100;050_0002.jpg;0;-;0;inerte;1;90;4;100;
BL6_101;050_0084.jpg;0;-;0;inerte;1;100;1;100;
BL6_102;051_0002.jpg;0;-;0;inerte;1;50;2;100;
BL6_103;053_0003.jpg;0;-;0;inerte;1;60;3;100;
BL6_104;055_0029.jpg;0;-;0;inerte;1;70;4;100;
BL6_105;058_0079.jpg;0;-;0;inerte;1;80;1;100;
BL6_106;061_0018.jpg;0;-;0;inerte;1;90;2;100;
BL6_107;061_0025.jpg;0;-;0;inerte;1;100;3;100;
BL6_108;062_0013.jpg;0;-;0;inerte;1;0;4;100;
BL6_109;063_0011.jpg;0;-;0;inerte;1;10;1;100;
BL6_110;066_0032.jpg;0;-;0;inerte;1;20;2;100;
BL6_111;067_0053.jpg;0;-;0;inerte;1;30;3;100;
BL6_112;068_0018.jpg;0;-;0;inerte;1;40;4;100;
BL6_113;069_0078.jpg;0;-;0;inerte;1;50;1;100;
BL6_114;070_0004.jpg;0;-;0;inerte;1;60;2;100;
BL6_115;071_0025.jpg;0;-;0;inerte;1;70;3;100;
BL6_116;074_0059.jpg;0;-;0;inerte;1;80;4;100;
BL6_117;076_0046.jpg;0;-;0;inerte;1;90;1;100;
BL6_118;077_0051.jpg;0;-;0;inerte;1;100;2;100;
BL6_119;081_0054.jpg;0;-;0;inerte;1;0;3;100;
BL6_120;083_0008.jpg;0;-;0;inerte;1;10;4;100;
BL6_121;091_0001.jpg;0;-;0;inerte;1;20;1;100;
BL6_122;092_0092.jpg;0;-;0;inerte;1;30;2;100;
BL6_123;094_0025.jpg;0;-;0;inerte;1;40;3;100;
