intento;path;posicion_angular;tipo;excentricidad;respuesta;tamanyo;offset_porcentual
BL7_1;semantic_stims/objects/raw_BW/003_0018_bw.png;0,000;-;0,000;inerte;0,250;2,000
BL7_2;semantic_stims/objects/raw_BW/004_0015_bw.png;0,000;-;0,000;inerte;0,250;2,500
BL7_3;semantic_stims/objects/raw_BW/005_0014_bw.png;0,000;-;0,000;inerte;0,250;2,500
BL7_4;semantic_stims/objects/raw_BW/006_0043_bw.png;0,000;-;0,000;inerte;0,250;4,000
BL7_5;semantic_stims/objects/raw_BW/012_0006_bw.png;0,000;-;0,000;inerte;0,250;4,000
BL7_6;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;4,000
BL7_7;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;4,000
BL7_8;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;4,000
BL7_9;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;6,000
BL7_10;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;6,000
BL7_11;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;6,000
BL7_12;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;6,000
BL7_13;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;6,000
BL7_14;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;8,000
BL7_15;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;8,000
BL7_16;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;8,000
BL7_17;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;8,000
BL7_18;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;8,000
BL7_19;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;10,000
BL7_20;semantic_stims/objects/raw_BW/095_0014_bw.png;0,000;-;0,000;inerte;0,250;10,000
